created_at,has_consented,is_listening,frequency,context,when,how,platform,utility,track_genre,duration,energy,tempo,feeling,is_live,quality,curiosity,age_range,gender,position
2025-10-05,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,['seul(e)'],4.0,['streaming'],['spotify'],"['passer le temps', ""s'échapper""]","['pop', 'rap']",5.0,avec des paroles,2.0,tristes,non,3.0,3.0,entre 19 et 24 ans,homme,technologie & informatique
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,['seul(e)'],3.0,['streaming'],"['youtube music', 'soundcloud']",['se concentrer'],"['pop', 'rap', 'dance - electro']",5.0,avec des paroles,2.0,positives,oui,3.0,3.0,entre 19 et 24 ans,homme,technologie & informatique
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,"['seul(e)', 'entre amis', 'en fête']",3.0,['streaming'],['youtube music'],"['passer le temps', 'faire la fête']","['rap', 'dance - electro']",5.0,avec des paroles,2.0,positives,non,3.0,3.0,entre 19 et 24 ans,homme,technologie & informatique
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,"['seul(e)', 'entre amis', 'en fête']",4.0,"['streaming', 'cd']","['spotify', 'youtube music', 'soundcloud']","['passer le temps', 'faire la fête']","['pop', 'rap', 'rock', 'dance - electro']",5.0,avec des paroles,2.0,positives,non,3.0,4.0,entre 19 et 24 ans,homme,technologie & informatique
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,"['seul(e)', 'entre amis', 'en fête']",3.0,['streaming'],['spotify'],"['passer le temps', 'faire la fête']","['pop', 'rap']",5.0,avec des paroles,2.0,positives,oui,3.0,4.0,entre 19 et 24 ans,homme,technologie & informatique
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,"['seul(e)', 'en famille']",3.0,['streaming'],['spotify'],"['se concentrer', 'se mettre dans sa bulle']","['rock', 'dance - electro', 'reggae']",5.0,avec une voix mais en fond,1.0,positives,oui,3.0,3.0,entre 45 et 54 ans,homme,construction & industrie
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,['seul(e)'],4.0,"['streaming', 'téléchargements']",['youtube music'],['passer le temps'],['classique'],10.0,uniquement instrumentaux,1.0,positives,oui,4.0,2.0,entre 19 et 24 ans,homme,éducation
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par semaine,"['seul(e)', 'en famille']",3.0,['streaming'],['spotify'],"[""s'échapper"", 'se concentrer', 'se mettre dans sa bulle']","['dance - electro', ""musique d'ascenseur""]",11.0,uniquement instrumentaux,1.0,positives,non,4.0,1.0,entre 19 et 24 ans,homme,technologie & informatique
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,"['seul(e)', 'entre amis', 'en fête']",3.0,"['streaming', 'téléchargements']","['youtube music', 'soundcloud']","['passer le temps', 'faire la fête', ""s'échapper"", 'se mettre dans sa bulle']","['classique', 'pop', 'rock', 'jazz', 'reggae']",11.0,avec une voix mais en fond,1.0,positives,oui,4.0,4.0,entre 19 et 24 ans,homme,arts & médias
2025-10-06,"j’ai lu et compris les informations ci-dessus, et je consens à participer.",True,+ d'une fois par jour,['seul(e)'],4.0,['streaming'],['spotify'],['se mettre dans sa bulle'],"['pop', 'rap']",5.0,avec des paroles,2.0,tristes,non,4.0,4.0,entre 19 et 24 ans,homme,technologie & informatique
