Horodateur,"Pour être sûr ","Écoutez-vous de la musique ? ",🗓️🎵 À quelle fréquence écoutez-vous de la musique ?,🏘️🎵 Dans quel(s) contexte(s) écoutez-vous vos musiques ?,"🌞🎵 À quel moment de la journée écoutez-vous le plus de la musique ? ",❓🎵 Comment écoutez-vous vos musiques ?,📱🎵 Quelle(s) plateforme(s) de streaming utilisez-vous ?,🧐🎵 Vos musiques servent à :,🔡🎵 Quels sont vos genres de musique préférés,⏰🎵 Quelle est la durée moyenne des musiques que vous écoutez ?,"🎧🎵 Écoutez-vous plutôt des morceaux ",🚲🎵 Quel est le tempo des musiques que vous écoutez ?,👂🎵 Les musiques que vous écoutez sont plutôt,🔴🎵 Écoutez-vous des musiques interprétées en live ? (concert par exemple),🔊🎵 La qualité de l'audio est importante pour moi,💪🎵 A quel point êtes vous prêt(e) à découvrir de nouveaux genres ou artistes ?,📊 Quelle est votre tranche d'âge ?,👤 Quel est votre genre ?,👔 Dans quel domaine travaillez-vous ?,Colonne 20
05/10/2025 19:31:08,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🖼️ S'échapper","Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
05/10/2025 20:23:48,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌕 Nuit,"ᯤ Streaming, 📀 Vinyle","💚 Spotify, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Reggae, Techno",🟡 - de 5 minutes,🎻 Uniquement instrumentaux,🚀 Très très rapide,🟩 Positives,✅ Oui,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Préfère ne pas dire,
06/10/2025 09:47:21,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌤️ Après-midi,ᯤ Streaming,"❤️ Youtube Music, 🧡 SoundCloud",📖 Se concentrer,"Pop, Rap, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 10:10:03,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌤️ Après-midi,ᯤ Streaming,❤️ Youtube Music,"⏳ Passer le temps, 🥳 Faire la fête","Rap, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 10:10:10,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 💿 CD","💚 Spotify, ❤️ Youtube Music, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête","Pop, Rap, Rock, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 10:10:22,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌤️ Après-midi,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête","Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 10:30:30,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🫂 En famille",🌤️ Après-midi,ᯤ Streaming,💚 Spotify,"📖 Se concentrer, 🫧 Se mettre dans sa bulle","Rock, Dance - Electro, Reggae",🟡 - de 5 minutes,🎤 Avec une voix mais en fond,🚗 Lent,🟩 Positives,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Construction & Industrie,
06/10/2025 10:35:29,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,"ᯤ Streaming, 📥 Téléchargements",❤️ Youtube Music,⏳ Passer le temps,Classique,🟠 - de 10 minutes,🎻 Uniquement instrumentaux,🚗 Lent,🟩 Positives,✅ Oui,✅ D'accord,Je préfère rester sur les genres que je connais déjà,entre 19 et 24 ans,♂️ Homme,Éducation,
06/10/2025 12:23:02,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 🫂 En famille",🌤️ Après-midi,ᯤ Streaming,💚 Spotify,"🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Dance - Electro, Musique d'ascenseur ",🔴 + de 10 minutes,🎻 Uniquement instrumentaux,🚗 Lent,🟩 Positives,❌ Non,✅ D'accord,Je veux uniquement écouter la musique que j’aime déjà,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
06/10/2025 13:40:22,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌤️ Après-midi,"ᯤ Streaming, 📥 Téléchargements","❤️ Youtube Music, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Jazz, Reggae, ",🔴 + de 10 minutes,🎤 Avec une voix mais en fond,🚗 Lent,🟩 Positives,✅ Oui,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Arts & Médias,
